Feature,Importance
COURSE_TITLE_Bachelor Of Occupational Therapy,0.0014165834
COURSE_TITLE_Master Of Data Science,0.0014159925
COURSE_TITLE_Bachelor Of Pharmacy,0.0014070844
COURSE_TITLE_Bachelor Of Biomedical Science,0.0014044129
COURSE_CD_FULL_ALT_326JA.3,0.0014041915
COURSE_CD_FULL_ALT_301JA.1,0.0013996257
COURSE_CD_FULL_ALT_261JA.2,0.0013976482
COURSE_CD_FULL_ALT_164JA.3,0.0013971562
COURSE_CD_FULL_ALT_321JA.4,0.0013969407
BIRTH_COUNTRY_EAST TIMOR,0.001393281
COURSE_CD_FULL_ALT_913AA.5,0.0013917226
COURSE_CD_FULL_ALT_330JA.2,0.0013873443
COURSE_CD_FULL_ALT_791AA.4,0.0013873136
COURSE_CD_FULL_ALT_284JA.3,0.0013775452
COURSE_TITLE_Master Of Occupational Therapy,0.0013761355
COURSE_CD_FULL_ALT_ARB009.1,0.0013758052
BIRTH_COUNTRY_IRAQ,0.0013755029
COURSE_TITLE_Bachelor Of Communication And Media (Corporate And Public Communication),0.0013743467
COURSE_CD_FULL_ALT_356JA.1,0.0013709874
COURSE_CD_FULL_ALT_245JA.1,0.0013699875
COURSE_CD_FULL_ALT_SCG401.1,0.0013598306
COURSE_CD_FULL_ALT_429AA.6,0.0013540584
COURSE_TITLE_Master Degree Course In Juris Doctor,0.001351316
BIRTH_COUNTRY_NEW ZEALAND,0.0013476625
COURSE_CD_FULL_ALT_560AA.6,0.0013422837
COURSE_CD_FULL_ALT_215JA.2,0.0013419148
BIRTH_COUNTRY_SOUTH AFRICA,0.0013406829
COURSE_CD_FULL_ALT_322AA.6,0.0013406369
COURSE_CD_FULL_ALT_ABB101.1,0.001336974
COURSE_TITLE_Master Of Medical Imaging,0.0013345283
COURSE_CD_FULL_ALT_SCB201.1,0.0013330824
COURSE_CD_FULL_ALT_132JA.2,0.0013295828
COURSE_CD_FULL_ALT_ABB002.1,0.0013272798
COURSE_CD_FULL_ALT_SCC401.1,0.0013249749
COURSE_CD_FULL_ALT_357JA.2,0.0013206289
COURSE_CD_FULL_ALT_ARC201.2,0.0013195282
COURSE_TITLE_Bachelor Of Arts/Bachelor Of Laws,0.0013182372
COURSE_TITLE_Graduate Diploma In Counselling,0.0013163806
COURSE_CD_FULL_ALT_HLH201.1,0.0013160096
BIRTH_COUNTRY_NIGERIA,0.0013138744
COURSE_CD_FULL_ALT_364JA.2,0.0013123135
COURSE_TITLE_Master Of Nutrition And Dietetics,0.0013112766
BIRTH_COUNTRY_MALAYSIA,0.0013048479
COURSE_TITLE_Master Of Urban And Regional Planning,0.0013036698
COURSE_CD_FULL_ALT_ARB102.1,0.0012987496
ABORIG_TORRES_NEITHER ABORIGINAL NOR TORRES STRAIT ISLANDER ORIGIN,0.0012886825
COURSE_CD_FULL_ALT_EDM001.1,0.0012877398
COURSE_TITLE_Bachelor Of Politics And International Relations/Bachelor Of Commerce,0.0012863372
COURSE_CD_FULL_ALT_882AA.2,0.0012823934
COURSE_TITLE_Master Of Marketing Management,0.001280187
COURSE_CD_FULL_ALT_193JA.2,0.0012792733
COURSE_CD_FULL_ALT_ARC102.1,0.0012724147
COURSE_CD_FULL_ALT_321JA.1,0.0012650386
COURSE_CD_FULL_ALT_245JA.2,0.0012579274
COURSE_CD_FULL_ALT_686AA.5,0.0012579004
FACULTY_CODE_FCY-AAD,0.0012453359
COURSE_CD_FULL_ALT_953AA.1,0.001242478
COURSE_CD_FULL_ALT_772AA.6,0.0012411418
COURSE_CD_FULL_ALT_264JA.3,0.0012391147
COURSE_CD_FULL_ALT_327JA.3,0.0012338986
COURSE_CD_FULL_ALT_SCG101.1,0.0012325582
COURSE_CD_FULL_ALT_NPB001.1,0.001230019
COURSE_CD_FULL_ALT_248JA.2,0.0012267275
BIRTH_COUNTRY_HONG KONG (SAR OF CHINA),0.0012256146
COURSE_TITLE_Bachelor Of The Built Environment (Interior Architecture),0.0012227275
COURSE_CD_FULL_ALT_768AA.2,0.0012205385
COURSE_TITLE_Master Of Clinical Psychology,0.0012193471
BIRTH_COUNTRY_KENYA,0.0012189246
COURSE_CD_FULL_ALT_330JA.7,0.001211841
BIRTH_COUNTRY_CANADA,0.0012110905
COURSE_CD_FULL_ALT_SCG003.1,0.0012060369
COURSE_CD_FULL_ALT_330JA.5,0.0012059633
